Gene and Linked Enh,,,Functional annotation,,,,,,,,,,,,,,,,,,,,Astrocyte DE of enhancer genes in disease,,,,,,,ROSMAP DE,,,,,,,
Gene,LinkedEnh,Hit,AstAgeing_CombinedStudies,AstAgeing_Krawczyk2022,AstAgeing_Palmer2021,AstMarkers_Adult_Morabito2021,AstMarkers_AllAges_Herring2022,AstMarkers_CombinedStudies,AstMarkers_Foetal_Zhong2018,AstMarkers_Subtypes_Sadick2022,AstMaturation_CombinedStudies,AstMaturation_Herring2022,AstMaturation_Krawczyk2022,AstMaturation_Zhang2016,Housekeeping_CombinedStudies,Housekeeping_Eisenberg2013,Housekeeping_Lin2019,AstActivation_CombinedStudies,AstActivation_Leng2022_ProtocolKrencik,AstActivation_Leng2022_ProtocolLeng,AstActivation_Leng2022_ProtocolLi,AstActivation_Leng2022_ProtocolTCW,AD_Morabito2021,AD_Sadick2022,ASD_Gandal2022,Epilepsy_Zhang2016,GBM_Zhang2016,MS_Jakel2019,Peritumour_Krawczyk2022,cluster_id,logFC,logCPM,F,p_val,p_adj.loc,p_adj.glb,variable
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.01241920029,8.094985541,25.21963967,7.74261498619646e-07,2.9821705554622E-4,2.9821705554622E-4,tangles
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.07389511811,8.096177021,13.04544499,3.43422250023172E-4,3.2750368770802299E-2,3.2750368770802299E-2,cogn_po_lv
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.2376726615,8.142339171,50.63227792,1.09066809989206e-11,6.08943371629021e-09,6.08943371629021e-09,nft_trio_third_vs_second
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.06855207595,8.094060449,12.04418252,5.7641190332818795E-4,3.63568982475709E-2,3.63568982475709E-2,cogn_wo_lv
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1686261334,8.135799789,23.79419272,1.8661666038554e-06,3.58303987940236E-4,3.58303987940236E-4,plaq_n_trio_third_vs_second
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.02134910201,8.098069198,18.74436092,1.89476360059088e-05,4.86401953517144E-3,4.86401953517144E-3,amyloid
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1724054881,8.091026233,67.41953896,3.23935030619622e-15,1.06079195027026e-12,1.06079195027026e-12,RUVr_results
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.814805372,8.0921463,18.10126791,2.64746930004499e-05,3.6256752644975099E-3,3.6256752644975099E-3,cognse_random_slope
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.06018871594,8.097272456,15.60936393,9.21122749704935e-05,1.14226306523025E-2,1.14226306523025E-2,cogn_se_lv
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.08998628568,8.094056244,24.09457499,1.34058370242497e-06,2.3174419652416999E-4,2.3174419652416999E-4,cogn_global_lv
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1312452084,8.094055629,32.6488034,2.16640220329799e-08,2.04967135516735e-05,2.04967135516735e-05,plaq_n
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.2743049405,8.13185239,36.57513117,6.98368190147229e-09,3.21955809278568e-07,3.21955809278568e-07,group_fourth_vs_first
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1423982744,8.094054414,25.70140672,6.11884779428431e-07,2.3788566965416899E-4,2.3788566965416899E-4,gpath_3neocort
